Extension Name,Memory Allocation,Background Workers,Custom Configuration Variables,Number of Components
acl,No,No,No,0
aclexplode,No,No,No,0
adaptive_estimator,No,No,No,0
adminpack,No,No,No,0
aggs_for_arrays,No,No,No,0
aggs_for_vecs,No,No,No,0
ajbool,No,No,No,0
amcheck,No,No,No,0
apacheage,No,No,Yes,1
argm,No,No,No,0
arraymath,No,No,No,0
auth_delay,No,No,Yes,1
auto_explain,No,No,Yes,1
base36,No,No,No,0
base62,No,No,No,0
basebackup_to_shell,No,No,Yes,1
basic_archive,No,No,Yes,1
bedquilt,No,No,No,0
bgvalidators,No,No,No,0
bignum,No,No,No,0
bitmap_estimator,No,No,No,0
bloom,No,No,No,0
bool_plperl,No,No,No,0
bson,No,No,No,0
btree_gin,No,No,No,0
btree_gist,No,No,No,0
byteamagic,No,No,No,0
cat_tools,No,No,No,0
cert,No,No,No,0
check_digits,No,No,No,0
check_updates,No,No,No,0
chkpass,No,No,No,0
citext,No,No,No,0
citus,Yes,Yes,Yes,3
clerk_fdw,No,No,No,0
colnames,No,No,No,0
colors,No,No,No,0
complex,No,No,No,0
config_log,No,No,No,0
constr_name_unif,No,No,No,0
couchdb_fdw,No,No,No,0
count_distinct,No,No,No,0
count_nulls,No,No,No,0
countnulls,No,No,No,0
country,No,No,No,0
cryptint,No,No,No,0
cstore_fdw,No,No,No,0
cube,No,No,No,0
currency,No,No,No,0
cyanaudit,No,No,No,0
datafly_anon,No,No,No,0
datasketches,No,No,No,0
db2_fdw,No,No,No,0
db_info,No,No,No,0
dblink,No,No,No,0
dbpatch,No,No,No,0
ddlx,No,No,No,0
debversion,No,No,No,0
decoderbufs,No,No,No,0
device_type,No,No,No,0
dict_int,No,No,No,0
dict_xsyn,No,No,No,0
dont_drop_db,No,No,Yes,1
dsef,No,No,No,0
earthdistance,No,No,No,0
email,No,No,No,0
emaj,No,No,No,0
envvar,No,No,No,0
explanation,No,No,No,0
extension_drop,No,No,No,0
faker,No,No,Yes,1
file_fdw,No,No,No,0
file_fdw_program,No,No,No,0
file_textarray_fdw,No,No,No,0
financial,No,No,No,0
firebird_fdw,No,No,No,0
first_last,No,No,No,0
first_last_agg,No,No,No,0
floatfile,No,No,No,0
floatvec,No,No,No,0
foreign_table_exposer,No,No,No,0
format_x,No,No,No,0
fuzzy_logic,No,No,No,0
fuzzystrmatch,No,No,No,0
fuzzywuzzy,No,No,No,0
generate_date_series,No,No,No,0
geoip,No,No,No,0
geoip2lookup,No,No,No,0
gip,No,No,No,0
git_fdw,No,No,No,0
h3,No,No,Yes,1
h3_postgis,No,No,No,0
hashtypes,No,No,No,0
hashtypes-aleksabl,No,No,No,0
hexgrid,No,No,No,0
hostname,No,No,No,0
hstore,No,No,No,0
hstore_plperl,No,No,No,0
hstore_plpython3u,No,No,No,0
http,No,No,Yes,1
hyperloglog_estimator,No,No,No,0
hypopg,No,No,Yes,1
icu_ext,No,No,Yes,1
iif,No,No,No,0
imcs,Yes,No,Yes,2
inetrange,No,No,No,0
intagg,No,No,No,0
intarray,No,No,No,0
ip4r,No,No,No,0
is_jsonb_valid,No,No,No,0
isn,No,No,No,0
istore,No,No,No,0
italian_codes,No,No,No,0
italian_fts,No,No,No,0
jdbc_fdw,No,No,No,0
json_accessors,No,No,No,0
json_build,No,No,No,0
json_enhancements,No,No,No,0
json_fdw,No,No,No,0
json_utils,No,No,No,0
jsonb_deep_sum,No,No,No,0
jsonb_plperl,No,No,No,0
jsonb_plpython3u,No,No,No,0
jsonbx,No,No,No,0
jsoncdc,No,No,No,0
jsonschema,No,No,No,0
jsquery,No,No,No,0
jx_io,No,No,No,0
kmeans,No,No,No,0
language,No,No,No,0
ldap_fdw,No,No,No,0
lo,No,No,No,0
lock_pool,No,No,No,0
log_fdw,No,No,No,0
log_functions,No,No,Yes,1
logerrors,Yes,No,Yes,2
logfmt,No,No,Yes,1
logical_ddl,No,No,No,0
login_hook,No,No,No,0
loglog_estimator,No,No,No,0
lostgis,No,No,No,0
lower_quantile,No,No,No,0
lsm3,Yes,Yes,Yes,3
ltree,No,No,No,0
ltree_plpython3u,No,No,No,0
madlib,No,No,No,0
mapcode,No,No,No,0
md5hash,No,No,No,0
metagration,No,No,No,0
mimeo,No,No,No,0
mods_since_analyze,No,No,No,0
mongo_fdw,No,No,Yes,1
multicdr_fdw,No,No,No,0
multicorn,No,No,No,0
mvtbl,No,No,No,0
my_extension,No,No,No,0
mysql_fdw,No,No,Yes,1
mysqlcompat,No,No,No,0
narugn,No,No,No,0
neo4j-fdw,No,No,No,0
nominatim_fdw,No,No,No,0
notify_now,No,No,No,0
oai_fdw,No,No,No,0
object_reference,No,No,No,0
odbc_fdw,No,No,No,0
ogr_fdw,No,No,No,0
old_snapshot,No,No,No,0
openbarter,No,No,Yes,1
openssl,No,No,No,0
oracle_fdw,No,No,No,0
orafce,No,No,Yes,1
osm_fdw,No,No,No,0
otp,No,No,No,0
pageinspect,No,No,No,0
pair,No,No,No,0
pandapost,No,No,No,0
paradedb,Yes,Yes,Yes,3
parray_gin,No,No,No,0
passwd-fdw,No,No,No,0
passwordcheck,No,No,No,0
pcsa_estimator,No,No,No,0
permuteseq,No,No,No,0
pg-json,No,No,No,0
pg2podg,No,No,No,0
pg_acl,No,No,No,0
pg_amqp,No,No,No,0
pg_auditor,No,No,No,0
pg_background,No,Yes,No,1
pg_bigm,No,No,Yes,1
pg_buffercache,No,No,No,0
pg_bulkload,No,No,Yes,1
pg_cext,No,No,No,0
pg_collkey,No,No,No,0
pg_cron,No,Yes,Yes,2
pg_curl,No,No,Yes,1
pg_datatype_password,No,No,No,0
pg_diffix,No,No,Yes,1
pg_doc_store,No,No,No,0
pg_doctest,No,No,No,0
pg_extra_time,No,No,No,0
pg_failover_slots,No,No,Yes,1
pg_feedback,No,No,No,0
pg_fkpart,No,No,No,0
pg_freespacemap,No,No,No,0
pg_french_datatypes,No,No,No,0
pg_global_catalog,No,No,No,0
pg_gsl,No,No,No,0
pg_handlebars,No,No,No,0
pg_hint_plan,No,No,Yes,1
pg_html5_email_address,No,No,No,0
pg_htmldoc,No,No,No,0
pg_icu_parser,No,No,Yes,1
pg_idx_advisor,No,No,Yes,1
pg_image,No,No,No,0
pg_injection,No,No,Yes,1
pg_ivm,No,No,No,0
pg_jobmon,No,No,No,0
pg_journal,No,No,Yes,1
pg_kaboom,No,No,Yes,1
pg_lambda,No,No,No,0
pg_later,No,Yes,No,1
pg_libphonenumber,No,No,No,0
pg_log,No,No,Yes,1
pg_log_statements,Yes,No,No,1
pg_log_userqueries,No,No,Yes,1
pg_logqueryid,No,No,No,0
pg_luhn,No,No,No,0
pg_median_utils,No,No,No,0
pg_memorycontext,No,No,No,0
pg_message_queue,No,No,No,0
pg_metricus,No,No,No,0
pg_migrate,No,No,No,0
pg_mockable,No,No,No,0
pg_monitoring,No,No,No,0
pg_mupdf,No,No,No,0
pg_mustach,No,No,No,0
pg_natural_sort_order,No,No,No,0
pg_part,No,No,No,0
pg_partman,No,Yes,Yes,2
pg_pathman,Yes,Yes,Yes,3
pg_permission,No,No,No,0
pg_plpgsql_ext,No,No,No,0
pg_plugins,Yes,No,Yes,2
pg_prewarm,No,Yes,Yes,2
pg_procfs,No,No,No,0
pg_proctab,No,No,No,0
pg_py_ext,No,No,No,0
pg_qualstats,Yes,No,Yes,2
pg_query_rewrite,Yes,No,Yes,2
pg_queryid,No,No,Yes,1
pg_querylog,No,No,Yes,1
pg_rand_ext,No,No,No,0
pg_readme,No,No,No,0
pg_readonly,Yes,No,No,1
pg_repack,No,No,No,0
pg_roaringbitmap,No,No,Yes,1
pg_role_fkey_trigger_functions,No,No,No,0
pg_rowalesce,No,No,No,0
pg_safer_settings,No,No,No,0
pg_sample_ext,No,No,No,0
pg_sampletolog,No,No,Yes,1
pg_sessions,No,No,Yes,1
pg_set_acl,No,No,No,0
pg_set_level,Yes,No,Yes,2
pg_shard,No,No,Yes,1
pg_show_plans,Yes,No,Yes,2
pg_similarity,No,No,Yes,1
pg_sqlog,No,No,No,0
pg_squeeze,Yes,Yes,Yes,3
pg_stat_kcache,Yes,No,Yes,2
pg_stat_monitor,Yes,No,Yes,2
pg_stat_statements,Yes,No,Yes,2
pg_statsd,No,No,No,0
pg_statviz,No,No,No,0
pg_strom,Yes,No,Yes,2
pg_surgery,No,No,No,0
pg_systat,No,No,No,0
pg_task,Yes,Yes,Yes,3
pg_text_semver,No,No,No,0
pg_thud,No,No,No,0
pg_timeout,No,No,Yes,1
pg_tle,No,No,Yes,1
pg_track_settings,No,No,No,0
pg_trgm,No,No,Yes,1
pg_utility_trigger_functions,No,No,No,0
pg_uuidv7,No,No,No,0
pg_variables,No,No,Yes,1
pg_visibility,No,No,No,0
pg_wait_sampling,Yes,No,Yes,2
pg_walinspect,No,No,No,0
pg_wkhtmltopdf,No,No,No,0
pg_xenophile,No,No,No,0
pg_xnode,No,No,No,0
pg_xxhash,No,No,No,0
pgaudit,No,No,Yes,1
pgbson,No,No,No,0
pgchess,No,No,No,0
pgchronos,No,No,No,0
pgcozy,No,No,No,0
pgcrypto,No,No,No,0
pgdecimal,No,No,No,0
pgdecimal2,No,No,No,0
pgds,Yes,No,No,1
pgerror,No,No,No,0
pgespresso,No,No,No,0
pgextwlist,No,No,Yes,1
pgfincore,No,No,No,0
pgjsonrpc,No,No,No,0
pgjwt,No,No,No,0
pglogical,Yes,Yes,Yes,3
pgmemento,No,No,No,0
pgmp,No,No,No,0
pgmq,No,No,No,0
pgpyml,No,No,No,0
pgrouting,No,No,No,0
pgrowlocks,No,No,No,0
pgsentinel,Yes,No,Yes,2
pgsmtp,No,No,No,0
pgsodium,No,No,Yes,1
pgspeck,No,No,No,0
pgsql_tweaks,No,No,No,0
pgstattuple,No,No,No,0
pgtap,No,No,No,0
pgtelemetry,No,No,No,0
pgtt,No,No,Yes,1
pgvihash,No,No,No,0
pgwaffles,No,No,No,0
pgzint,No,No,No,0
planinstr,No,No,No,0
plparrot,No,No,No,0
plpgsql_check,Yes,No,Yes,2
plprofiler,Yes,No,Yes,2
plproxy,No,No,No,0
plrust,No,No,No,0
plv8,No,No,Yes,1
pmpp,No,No,No,0
popcount,No,No,No,0
postal,No,No,No,0
postcode,No,No,No,0
postgis,No,No,Yes,1
postgres_fdw,No,No,Yes,1
postgresql_anonymizer,No,No,Yes,1
postgresql_faker,No,No,Yes,1
postgresql_hll,No,No,Yes,1
powa,No,No,Yes,1
prefix,No,No,No,0
prioritize,No,No,No,0
probabilistic_counter,No,No,No,0
probabilistic_estimator,No,No,No,0
prometheus_fdw,No,No,No,0
psl,No,No,No,0
qgres,No,No,No,0
quantile,No,No,No,0
query_histogram,No,No,Yes,1
query_recorder,No,No,Yes,1
range_agg,No,No,No,0
range_partitioning,No,No,No,0
range_tools,No,No,No,0
range_type_functions,No,No,No,0
rdf_fdw,No,No,No,0
rdkit,No,No,Yes,1
redis_fdw,No,No,No,0
resetsequence,No,No,No,0
roleman,No,No,No,0
ruid,No,No,No,0
rum,No,No,Yes,1
s3_fdw,No,No,No,0
safeupdate,No,No,Yes,1
saio,No,No,Yes,1
salesforce_id,No,No,No,0
seg,No,No,No,0
semver,No,No,No,0
sepgsql,No,No,Yes,1
sequential_uuids,No,No,No,0
session_hash_tools,No,No,No,0
session_variable,No,No,No,0
set_user,No,No,Yes,1
sha,No,No,No,0
shacrypt,No,No,No,0
shard_manager,No,No,No,0
shared_ispell,Yes,No,Yes,2
short_ids,No,No,No,0
slony-i,No,No,No,0
soundex-function,No,No,No,0
soundex-operator,No,No,No,0
soundex-type,No,No,No,0
spi,No,No,No,0
sqlite_fdw,No,No,No,0
sslinfo,No,No,No,0
ssn,No,No,No,0
statsd,No,No,No,0
streaming_lag,No,No,Yes,1
superloglog_counter,No,No,No,0
superloglog_estimator,No,No,No,0
tab_tier,No,No,No,0
table_version,No,No,No,0
tablefunc,No,No,No,0
tblsize_nolock,No,No,No,0
tcn,No,No,No,0
tds_fdw,No,No,Yes,1
template_fdw,No,No,No,0
temporal,No,No,No,0
temporal_tables,No,No,No,0
test_decoding,No,No,No,0
test_factory,No,No,No,0
tg_sanity,No,No,No,0
timescaledb,Yes,Yes,Yes,3
timeseries,No,No,No,0
timestampandtz,No,No,No,0
tinyint,No,No,No,0
treasuredata_fdw,No,No,No,0
trimmed_aggregates,No,No,No,0
trunklet,No,No,No,0
trunklet-format,No,No,No,0
tsm_system_rows,No,No,No,0
tsm_system_time,No,No,No,0
tsvector2,No,No,No,0
tuplock,No,No,No,0
twitter_fdw,No,No,No,0
unaccent,No,No,No,0
unidecode,No,No,No,0
unnest_ordinality,No,No,No,0
url_encode,No,No,No,0
user_info,No,No,No,0
uuid-ossp,No,No,No,0
vacuum_utils,No,No,No,0
validadores,No,No,No,0
variant,No,No,No,0
varint,No,No,No,0
vector,No,No,Yes,1
vectorize,No,No,No,0
veil2,No,No,No,0
vops,No,No,Yes,1
wal2json,No,No,No,0
weighted_mean,No,No,No,0
weighted_stats,No,No,No,0
wltree,No,No,No,0
worker_spark,No,No,Yes,1
www_fdw,No,No,No,0
xml2,No,No,No,0
zhparser,No,No,Yes,1